episode,ep_len,ep_reward,ep_mean,ep_std,fps,time_elapsed,total_timesteps,timestamp
221,2048,250.000000,152.632084,74.877288,1100.498802,1.860974,452608,1761983033
222,2048,204.897698,154.116186,74.426372,1037.718841,1.973560,454656,1761983035
223,2048,213.106551,155.866260,73.732090,1645.714384,1.244444,456704,1761983036
224,2048,243.994031,158.138754,72.906611,1027.884553,1.992442,458752,1761983038
225,2048,200.624692,158.427959,73.017125,1077.407839,1.900859,460800,1761983040
226,2048,228.328366,160.131054,72.640490,1423.183789,1.439027,462848,1761983042
227,2048,250.000000,161.537566,73.102737,1096.429416,1.867881,464896,1761983043
228,2048,197.887918,162.655927,72.794175,181.730761,11.269418,466944,1761983055
229,2048,194.118111,164.120249,71.934451,2047999999999.999756,0.000000,468992,1761983047
230,2048,135.906537,164.868714,71.244307,1101.566569,1.859170,471040,1761983048
231,2048,222.576125,166.592711,70.530398,1375.167329,1.489273,473088,1761983050
232,2048,250.000000,168.667472,70.004522,1078.908853,1.898214,475136,1761983052
233,2048,136.874529,169.066637,69.707670,1041.587245,1.966230,477184,1761983054
234,2048,244.361341,170.681069,69.563138,1386.745772,1.476839,479232,1761983055
235,2048,243.574143,172.679117,68.753953,1014.408081,2.018911,481280,1761983057
236,2048,250.000000,174.515772,68.656468,1083.657698,1.889896,483328,1761983059
237,2048,139.103347,175.462060,67.499987,1385.129273,1.478562,485376,1761983061
238,2048,123.924213,175.920099,66.991386,1096.477000,1.867800,487424,1761983063
239,2048,195.900678,177.194671,66.141524,1021.161940,2.005558,489472,1761983065
240,2048,153.562820,178.401561,64.579750,1306.070750,1.568062,491520,1761983066
241,2048,250.000000,179.657777,65.141895,1032.216279,1.984080,493568,1761983068
242,2048,145.099413,179.319235,65.232582,1097.363114,1.866292,495616,1761983070
243,2048,250.000000,181.514019,64.791626,1502.961783,1.362643,497664,1761983071
244,2048,183.642670,182.722090,63.684337,1119.619638,1.829193,499712,1761983073
245,2048,250.000000,184.465185,63.770766,1124.970300,1.820493,501760,1761983075
246,2048,250.000000,186.927440,62.477609,1542.080556,1.328076,503808,1761983076
247,2048,250.000000,188.620572,62.236751,1075.544436,1.904152,505856,1761983078
248,2048,149.020713,190.004833,59.751536,1102.574421,1.857471,507904,1761983080
249,2048,201.169869,190.797408,59.367488,1565.243850,1.308422,509952,1761983081
250,2048,207.639282,193.335589,54.399588,1103.630341,1.855694,512000,1761983083
251,2048,245.728549,194.099456,54.593268,1088.245139,1.881929,514048,1761983085
252,2048,204.235307,196.343662,50.172066,1545.682294,1.324981,516096,1761983086
253,2048,164.095025,195.774333,50.211738,1003.567493,2.040720,518144,1761983088
254,2048,205.574645,197.375327,47.892776,1387.842503,1.475672,520192,1761983090
255,2048,250.000000,199.205997,47.242929,1064.895603,1.923193,522240,1761983092
256,2048,196.693389,198.926600,47.174294,988.909690,2.070968,524288,1761983094
257,2048,178.946905,199.215427,46.962189,1355.946493,1.510384,526336,1761983095
258,2048,250.000000,200.851650,45.885784,1058.115704,1.935516,528384,1761983097
259,2048,250.000000,203.188540,43.829136,1085.378300,1.886900,530432,1761983099
260,2048,216.035488,203.824109,43.549107,1446.536040,1.415796,532480,1761983101
261,2048,146.434846,203.212428,43.919734,1055.661769,1.940015,534528,1761983103
262,2048,188.199710,202.908684,43.917477,1104.805786,1.853719,536576,1761983104
263,2048,250.000000,203.305192,44.411869,1445.246137,1.417060,538624,1761983106
264,2048,239.757069,204.145907,44.298064,1026.217683,1.995678,540672,1761983108
265,2048,250.000000,205.054499,44.808774,1071.707054,1.910970,542720,1761983110
266,2048,203.751174,205.314586,44.724893,1465.801864,1.397187,544768,1761983111
267,2048,245.349821,206.411369,44.346813,1180.652084,1.734635,546816,1761983113
268,2048,250.000000,206.638680,44.526551,1167.145566,1.754708,548864,1761983115
269,2048,228.222780,207.070864,44.524209,1678.732118,1.219968,550912,1761983116
270,2048,213.744647,206.799247,44.399645,1115.778935,1.835489,552960,1761983118
271,2048,69.726931,205.739721,46.350940,1091.542841,1.876243,555008,1761983120
272,2048,190.507576,206.074987,46.117712,1424.015920,1.438186,557056,1761983121
273,2048,171.063534,206.354130,45.819504,1029.687297,1.988953,559104,1761983123
274,2048,193.027460,206.351369,45.820299,1036.167040,1.976515,561152,1761983125
275,2048,248.764354,207.515414,45.402488,1429.966022,1.432202,563200,1761983126
276,2048,137.751357,206.783431,45.928232,1079.618864,1.896966,565248,1761983128
277,2048,176.986719,207.302904,45.290069,1113.882530,1.838614,567296,1761983130
278,2048,181.160295,207.180693,45.343926,1391.211170,1.472099,569344,1761983132
279,2048,200.240045,206.635329,45.095480,1098.080504,1.865073,571392,1761983134
280,2048,250.000000,207.202742,45.477434,182.524131,11.220434,573440,1761983145
281,2048,250.000000,207.931906,45.902672,2047999999999.999756,0.000000,575488,1761983137
282,2048,202.424392,207.362915,45.613857,1124.707818,1.820917,577536,1761983139
283,2048,250.000000,207.754782,45.993077,1446.212862,1.416112,579584,1761983140
284,2048,247.839941,209.125966,45.115370,1097.863392,1.865442,581632,1761983142
285,2048,250.000000,210.336420,44.958611,1027.385669,1.993409,583680,1761983144
286,2048,250.000000,211.133489,45.514722,1176.615848,1.740585,585728,1761983146
287,2048,189.818499,211.269734,45.430243,1144.520396,1.789396,587776,1761983147
288,2048,250.000000,212.143902,45.429219,1163.485536,1.760228,589824,1761983149
289,2048,250.000000,213.166131,45.750685,1453.514196,1.408999,591872,1761983151
290,2048,245.067255,213.698882,45.808838,1076.573077,1.902333,593920,1761983152
291,2048,240.134635,213.726710,45.824041,1156.276400,1.771203,595968,1761983154
292,2048,217.612108,213.673767,45.816463,1555.365098,1.316733,598016,1761983155
293,2048,187.812249,213.681069,45.812283,1150.658605,1.779850,600064,1761983157
294,2048,250.000000,214.367069,46.169601,1130.991184,1.810801,602112,1761983159
295,2048,248.542307,214.981311,46.211570,1711.174391,1.196839,604160,1761983160
296,2048,250.000000,215.659505,46.606926,1191.152373,1.719343,606208,1761983162
297,2048,250.000000,215.958372,46.861530,1059.834281,1.932378,608256,1761983164
298,2048,122.269736,216.198542,46.316031,1613.075398,1.269624,610304,1761983165
299,2048,190.172659,215.603455,46.264274,1185.338315,1.727777,612352,1761983167
300,2048,212.108627,215.927489,46.124976,1145.116201,1.788465,614400,1761983169
301,2048,250.000000,216.826954,45.930709,184.060059,11.126803,616448,1761983180
302,2048,179.317356,217.344085,45.208686,2047999999999.999756,0.000000,618496,1761983172
303,2048,250.000000,217.999530,45.512706,1142.198795,1.793033,620544,1761983173
304,2048,225.131578,218.366507,45.420690,1163.706363,1.759894,622592,1761983175
305,2048,205.702786,218.767799,45.128826,1648.670227,1.242213,624640,1761983177
306,2048,250.000000,219.126497,45.384694,1144.930756,1.788754,626688,1761983178
307,2048,236.704663,218.798988,45.137821,1031.263934,1.985913,628736,1761983180
308,2048,250.000000,219.219083,45.505402,1598.626137,1.281100,630784,1761983182
309,2048,250.000000,219.983042,45.813560,1155.870000,1.771826,632832,1761983183
310,2048,250.000000,220.545174,45.850716,1154.509427,1.773914,634880,1761983185
311,2048,250.000000,220.708487,45.997285,1627.111751,1.258672,636928,1761983186
312,2048,131.118842,219.910428,46.844628,1147.795126,1.784291,638976,1761983188
313,2048,148.947970,218.628629,47.014834,1096.346012,1.868023,641024,1761983190
314,2048,128.905604,217.936818,47.814208,1529.920520,1.338632,643072,1761983191
315,2048,207.389069,217.877064,47.823618,1120.365557,1.827975,645120,1761983193
316,2048,181.092849,216.901505,47.568325,1146.736168,1.785938,647168,1761983195
317,2048,233.034605,216.993694,47.590564,1558.770089,1.313856,649216,1761983196
318,2048,247.864684,217.264185,47.688287,1111.444667,1.842647,651264,1761983198
319,2048,250.000000,218.314888,47.434582,1100.477372,1.861011,653312,1761983200
320,2048,209.497413,218.774033,47.123778,1507.491904,1.358548,655360,1761983201
321,2048,250.000000,218.798394,47.141076,1156.913024,1.770228,657408,1761983203
322,2048,250.000000,219.464657,47.409965,1080.170323,1.895997,659456,1761983205
323,2048,244.597270,219.779564,47.471231,1471.765546,1.391526,661504,1761983206
324,2048,216.004866,219.499672,47.410110,1119.283220,1.829742,663552,1761983208
325,2048,225.534666,219.748772,47.375712,1080.691073,1.895084,665600,1761983210
326,2048,217.047864,219.635967,47.368578,1467.931032,1.395161,667648,1761983212
327,2048,250.000000,219.879350,47.612115,1064.510786,1.923888,669696,1761983213
