episode,ep_len,ep_reward,ep_mean,ep_std,fps,time_elapsed,total_timesteps,timestamp
121,172,-250.000000,-250.000000,182.865007,1969.920343,0.087313,13005,1761979670
122,175,-250.000000,-250.000000,181.435341,1923.317105,0.090989,13180,1761979670
123,165,-250.000000,-250.000000,179.812919,1930.707465,0.085461,13345,1761979670
124,117,-250.000000,-250.000000,176.763796,1856.048170,0.063037,13462,1761979670
125,121,-250.000000,-250.000000,174.762403,1882.325741,0.064282,13583,1761979670
126,116,-248.351358,-250.000000,172.562577,1910.169463,0.060728,13699,1761979670
127,90,-250.000000,-250.000000,172.562578,1857.914538,0.048441,13789,1761979670
128,105,-99.367679,-250.000000,173.418175,1884.185235,0.055727,13894,1761979670
129,134,-250.000000,-250.000000,173.028342,1817.395203,0.073732,14028,1761979670
130,106,-250.000000,-250.000000,171.926110,1912.003337,0.055439,14134,1761979670
131,84,-60.157784,-250.000000,171.850819,1806.814171,0.046491,14218,1761979670
132,94,-250.000000,-250.000000,171.112901,1859.949126,0.050539,14312,1761979670
133,124,-183.110924,-250.000000,171.917778,1921.923706,0.064519,14436,1761979670
134,153,-84.984083,-250.000000,174.724838,1893.138488,0.080818,14589,1761979670
135,96,-250.000000,-250.000000,173.798236,1859.950223,0.051614,14685,1761979671
136,150,-190.735656,-250.000000,174.235269,1796.860648,0.083479,14835,1761979671
137,154,-113.107114,-250.000000,175.817714,1551.703152,0.099246,14989,1761979671
138,95,-250.000000,-250.000000,175.923622,1633.865218,0.058144,15084,1761979671
139,95,-250.000000,-250.000000,172.332363,1913.092376,0.049658,15179,1761979671
140,87,-250.000000,-250.000000,169.972384,1823.419071,0.047713,15266,1761979671
141,96,-250.000000,-250.000000,168.008164,1887.404360,0.050864,15362,1761979671
142,94,-77.382155,-250.000000,168.686966,1869.739911,0.050274,15456,1761979671
143,120,-137.474357,-250.000000,170.629304,1915.666541,0.062641,15576,1761979671
144,95,-241.150970,-250.000000,171.079180,1896.276442,0.050098,15671,1761979671
145,139,-250.000000,-250.000000,171.333537,1955.137297,0.071095,15810,1761979671
146,109,-250.000000,-250.000000,170.666438,1851.002615,0.058887,15919,1761979671
147,141,-250.000000,-250.000000,169.087098,1883.159624,0.074874,16060,1761979671
148,147,-250.000000,-250.000000,168.641801,1885.247604,0.077974,16207,1761979671
149,87,-250.000000,-250.000000,169.271584,1858.959464,0.046800,16294,1761979671
150,90,-250.000000,-250.000000,168.548859,1667.870048,0.053961,16384,1761979671
151,91,-250.000000,-250.000000,168.610307,1641.521540,0.055436,16475,1761979672
152,82,-250.000000,-250.000000,168.604578,1735.904022,0.047238,16557,1761979672
153,128,-250.000000,-250.000000,168.603635,1910.293914,0.067005,16685,1761979672
154,131,-247.226976,-250.000000,168.319568,1812.451795,0.072278,16816,1761979672
155,174,-250.000000,-250.000000,168.436290,1929.348571,0.090186,16990,1761979672
156,79,-131.752860,-250.000000,170.887638,1839.392565,0.042949,17069,1761979672
157,93,-250.000000,-250.000000,168.624174,1655.098363,0.056190,17162,1761979672
158,91,-250.000000,-250.000000,169.337114,1773.111079,0.051322,17253,1761979672
159,151,-250.000000,-250.000000,169.443523,1905.996918,0.079224,17404,1761979672
160,94,-246.173724,-250.000000,165.838883,1857.731865,0.050599,17498,1761979672
161,97,-250.000000,-250.000000,166.349008,1737.780735,0.055818,17595,1761979672
162,94,-250.000000,-250.000000,164.672424,1765.556140,0.053241,17689,1761979672
163,96,-250.000000,-250.000000,164.705000,1869.978795,0.051337,17785,1761979672
164,113,-250.000000,-250.000000,164.478104,1892.963248,0.059695,17898,1761979672
165,92,-250.000000,-250.000000,164.504918,1881.083033,0.048908,17990,1761979672
166,103,-155.154710,-250.000000,165.311168,1852.170926,0.055610,18093,1761979672
167,98,-250.000000,-250.000000,163.607927,1839.763460,0.053268,18191,1761979672
168,109,-107.644079,-250.000000,166.274193,1882.472427,0.057903,18300,1761979673
169,89,-250.000000,-250.000000,165.978663,1811.970274,0.049118,18389,1761979673
170,79,-250.000000,-250.000000,165.796592,1782.736036,0.044314,18468,1761979673
171,238,-250.000000,-250.000000,165.577418,25.130798,9.470451,18706,1761979682
172,177,-250.000000,-250.000000,161.844199,177000000000.000000,0.000000,18883,1761979672
173,125,-239.525359,-250.000000,161.833098,1791.237325,0.069784,19008,1761979672
174,170,-250.000000,-250.000000,159.146422,1919.372907,0.088571,19178,1761979672
175,125,-250.000000,-250.000000,159.392770,1913.557627,0.065323,19303,1761979673
176,107,-175.351027,-250.000000,160.626863,1910.486733,0.056007,19410,1761979673
177,91,-250.000000,-250.000000,160.820571,1755.423189,0.051839,19501,1761979673
178,81,-250.000000,-250.000000,159.804927,1826.119757,0.044356,19582,1761979673
179,104,-250.000000,-250.000000,159.805206,1730.419530,0.060101,19686,1761979673
180,104,-250.000000,-250.000000,159.746529,1849.160075,0.056242,19790,1761979673
181,124,-250.000000,-250.000000,159.334968,1844.689832,0.067220,19914,1761979673
182,87,-187.968349,-250.000000,159.978994,1825.571944,0.047656,20001,1761979673
183,77,-250.000000,-250.000000,159.705069,1790.063175,0.043015,20078,1761979673
184,99,-250.000000,-250.000000,155.395102,1917.303154,0.051635,20177,1761979673
185,141,-250.000000,-250.000000,153.155713,1932.953748,0.072945,20318,1761979673
186,107,-250.000000,-250.000000,151.806224,1868.831448,0.057255,20425,1761979673
187,91,37.743504,-250.000000,155.734124,1767.609394,0.051482,20516,1761979673
188,85,-250.000000,-250.000000,155.670695,1780.220408,0.047747,20601,1761979673
189,148,-250.000000,-250.000000,156.232194,1958.965514,0.075550,20749,1761979673
190,81,-250.000000,-250.000000,157.146927,1843.410024,0.043940,20830,1761979673
191,84,-250.000000,-250.000000,156.421842,1748.433236,0.048043,20914,1761979673
192,82,-250.000000,-250.000000,156.382091,1751.828206,0.046808,20996,1761979673
193,85,-250.000000,-250.000000,156.624559,1831.253929,0.046416,21081,1761979674
194,60,-250.000000,-250.000000,153.840360,1735.921253,0.034564,21141,1761979674
195,58,-158.977626,-250.000000,154.887988,1728.823230,0.033549,21199,1761979674
196,82,-250.000000,-250.000000,155.103387,1761.807065,0.046543,21281,1761979674
197,100,-250.000000,-250.000000,154.437950,1726.711869,0.057914,21381,1761979674
198,63,-250.000000,-250.000000,151.538391,1671.989066,0.037680,21444,1761979674
199,63,-250.000000,-250.000000,150.838040,1684.738670,0.037395,21507,1761979674
200,85,-250.000000,-250.000000,153.176523,1766.180217,0.048126,21592,1761979674
200,85,-663.651627,-359.943214,174.400895,,10.934273,85,1761979674
201,63,-250.000000,-250.000000,152.755950,1729.485372,0.036427,21655,1761979674
202,64,-250.000000,-250.000000,152.675813,1596.214878,0.040095,21719,1761979674
203,72,-250.000000,-250.000000,153.442325,1750.686315,0.041127,21791,1761979674
204,92,-250.000000,-250.000000,153.549438,1733.043358,0.053086,21883,1761979674
205,96,-250.000000,-250.000000,160.239199,1732.348317,0.055416,21979,1761979674
206,55,-250.000000,-250.000000,158.899933,1715.002639,0.032070,22034,1761979674
207,56,-250.000000,-250.000000,158.879907,1803.572298,0.031049,22090,1761979674
208,105,-250.000000,-250.000000,162.268321,1847.656750,0.056829,22195,1761979674
209,74,-250.000000,-250.000000,158.008363,1782.749645,0.041509,22269,1761979674
210,83,-250.000000,-250.000000,158.212472,1828.120885,0.045402,22352,1761979674
211,93,-250.000000,-250.000000,158.187192,1834.364493,0.050699,22445,1761979674
212,66,-250.000000,-250.000000,157.579552,1745.973283,0.037801,22511,1761979674
213,93,-250.000000,-250.000000,160.133143,1811.710234,0.051333,22604,1761979674
214,53,-250.000000,-250.000000,160.045872,1505.635935,0.035201,22657,1761979674
215,60,-250.000000,-250.000000,159.839938,1766.717026,0.033961,22717,1761979674
216,66,-250.000000,-250.000000,159.118581,1583.861035,0.041670,22783,1761979674
217,78,-250.000000,-250.000000,159.312286,1809.609664,0.043103,22861,1761979675
218,89,-250.000000,-250.000000,162.579795,1706.076983,0.052166,22950,1761979675
219,58,-250.000000,-250.000000,162.686042,1523.711179,0.038065,23008,1761979675
220,52,-250.000000,-250.000000,163.014026,1739.570004,0.029892,23060,1761979675
221,65,-250.000000,-250.000000,163.276756,1761.344833,0.036904,23125,1761979675
222,99,-250.000000,-250.000000,172.345526,1807.960500,0.054758,23224,1761979675
223,78,-250.000000,-250.000000,172.163794,1810.230470,0.043088,23302,1761979675
224,63,-250.000000,-250.000000,172.172940,1738.909120,0.036230,23365,1761979675
225,69,-250.000000,-250.000000,173.082863,1734.492287,0.039781,23434,1761979675
226,75,-250.000000,-250.000000,174.834105,1732.038322,0.043302,23509,1761979675
227,57,-250.000000,-250.000000,174.873746,1714.366945,0.033248,23566,1761979675
228,93,-250.000000,-250.000000,178.730144,1807.035384,0.051466,23659,1761979675
229,63,-250.000000,-250.000000,178.659659,1799.076445,0.035018,23722,1761979675
230,51,-250.000000,-250.000000,178.795131,1776.597987,0.028707,23773,1761979675
231,53,-250.000000,-250.000000,175.856288,1672.596512,0.031687,23826,1761979675
232,111,-250.000000,-250.000000,177.736204,1934.762663,0.057371,23937,1761979675
233,61,-250.000000,-250.000000,176.455851,1525.110539,0.039997,23998,1761979675
234,67,-250.000000,-250.000000,173.511824,1581.526991,0.042364,24065,1761979675
235,90,-250.000000,-250.000000,173.932649,1826.160001,0.049284,24155,1761979675
236,72,-250.000000,-250.000000,172.515939,1845.982945,0.039004,24227,1761979675
237,88,-250.000000,-250.000000,171.071319,1759.229921,0.050022,24315,1761979675
238,71,-250.000000,-250.000000,171.189033,1789.744480,0.039670,24386,1761979675
239,94,-250.000000,-250.000000,171.134196,1803.457094,0.052122,24480,1761979675
240,61,-230.725217,-250.000000,171.933083,1492.060370,0.040883,24541,1761979675
241,88,-250.000000,-250.000000,172.181761,1793.535050,0.049065,24629,1761979676
242,79,-250.000000,-250.000000,168.725714,1835.388437,0.043043,24708,1761979676
243,72,-250.000000,-250.000000,166.319246,1745.384333,0.041252,24780,1761979676
244,66,-250.000000,-250.000000,165.282173,1787.530117,0.036922,24846,1761979676
245,73,-250.000000,-250.000000,165.177862,1752.217236,0.041662,24919,1761979676
246,86,-250.000000,-250.000000,164.769217,1826.704196,0.047079,25005,1761979676
247,59,-250.000000,-250.000000,164.681839,1697.271871,0.034762,25064,1761979676
248,82,-250.000000,-250.000000,165.932596,1873.977301,0.043757,25146,1761979676
249,87,-250.000000,-250.000000,169.812129,1874.294120,0.046417,25233,1761979676
250,53,-250.000000,-250.000000,169.789825,1759.160787,0.030128,25286,1761979676
251,60,-250.000000,-250.000000,169.556480,1738.811857,0.034506,25346,1761979676
252,75,-250.000000,-250.000000,170.380892,1723.714910,0.043511,25421,1761979676
253,72,-250.000000,-250.000000,170.510442,1826.135707,0.039428,25493,1761979676
254,78,-250.000000,-250.000000,169.516951,1713.000628,0.045534,25571,1761979676
255,90,-250.000000,-250.000000,175.087251,1797.319215,0.050075,25661,1761979676
256,84,-250.000000,-250.000000,174.202047,1803.826233,0.046568,25745,1761979676
257,88,-250.000000,-250.000000,176.425758,1811.109840,0.048589,25833,1761979676
258,72,-250.000000,-250.000000,175.587780,1843.920281,0.039047,25905,1761979676
259,69,-250.000000,-250.000000,175.233502,1668.494102,0.041355,25974,1761979676
260,67,-250.000000,-250.000000,173.905350,1781.190138,0.037615,26041,1761979676
261,54,-250.000000,-250.000000,174.432941,1703.052936,0.031708,26095,1761979676
262,67,-250.000000,-250.000000,173.990816,1780.795083,0.037624,26162,1761979676
263,66,-250.000000,-250.000000,174.268692,1702.516430,0.038766,26228,1761979676
264,57,-250.000000,-250.000000,173.780596,1519.742984,0.037506,26285,1761979676
265,112,-250.000000,-250.000000,173.919261,1872.710938,0.059806,26397,1761979677
266,58,-250.000000,-250.000000,171.572445,1728.331927,0.033558,26455,1761979677
267,108,-250.000000,-250.000000,170.496232,1646.397366,0.065598,26563,1761979677
268,59,-250.000000,-250.000000,166.934473,1402.228798,0.042076,26622,1761979677
269,77,-250.000000,-250.000000,167.089522,1665.341838,0.046237,26699,1761979677
270,64,-250.000000,-250.000000,167.042055,1759.286521,0.036378,26763,1761979677
271,74,-250.000000,-250.000000,166.778705,1813.244472,0.040811,26837,1761979677
272,58,-250.000000,-250.000000,167.546510,1799.744261,0.032227,26895,1761979677
273,65,-250.000000,-250.000000,166.104801,1647.100730,0.039463,26960,1761979677
274,61,-250.000000,-250.000000,165.900060,1707.185950,0.035731,27021,1761979677
275,52,-250.000000,-250.000000,165.301040,1727.445453,0.030102,27073,1761979677
276,70,-250.000000,-250.000000,162.475376,1823.202762,0.038394,27143,1761979677
277,49,-250.000000,-250.000000,162.250149,1712.517153,0.028613,27192,1761979677
278,95,-250.000000,-250.000000,166.636939,1882.995903,0.050452,27287,1761979677
279,59,-250.000000,-250.000000,166.504985,1765.884113,0.033411,27346,1761979677
280,98,-250.000000,-250.000000,166.478991,1832.790651,0.053470,27444,1761979677
281,83,-250.000000,-250.000000,168.793584,1774.059440,0.046785,27527,1761979677
282,53,-250.000000,-250.000000,166.233370,1796.551626,0.029501,27580,1761979677
283,78,-250.000000,-250.000000,166.231678,1736.578244,0.044916,27658,1761979677
284,81,-250.000000,-250.000000,168.578525,1827.308208,0.044327,27739,1761979677
285,58,-250.000000,-250.000000,168.462757,1720.083095,0.033719,27797,1761979677
286,91,-250.000000,-250.000000,170.076267,1755.076097,0.051850,27888,1761979677
287,82,-250.000000,-250.000000,161.649839,1844.450970,0.044458,27970,1761979677
288,57,-250.000000,-250.000000,160.516258,1781.711007,0.031992,28027,1761979677
289,67,-250.000000,-250.000000,159.651690,1820.845491,0.036796,28094,1761979678
290,68,-250.000000,-250.000000,158.555578,1789.569707,0.037998,28162,1761979678
291,61,-250.000000,-250.000000,157.755333,1583.735958,0.038517,28223,1761979678
292,55,-250.000000,-250.000000,158.196883,1763.390307,0.031190,28278,1761979678
293,61,-250.000000,-250.000000,158.235114,6.503621,9.379391,28339,1761979687
294,61,-250.000000,-250.000000,157.992666,1740.979076,0.035038,28400,1761979687
295,93,-250.000000,-250.000000,155.574769,1860.010643,0.050000,28493,1761979687
296,71,-250.000000,-250.000000,155.698416,1389.341308,0.051103,28564,1761979687
297,61,-250.000000,-250.000000,155.327489,61000000000.000000,0.000000,28625,1761979677
298,54,-250.000000,-250.000000,154.866803,1712.763472,0.031528,28679,1761979677
299,60,-250.000000,-250.000000,154.432418,1739.016122,0.034502,28739,1761979677
300,67,-250.000000,-250.000000,153.696759,1807.099107,0.037076,28806,1761979677
301,52,-250.000000,-250.000000,155.828164,1658.861619,0.031347,28858,1761979677
302,56,-250.000000,-250.000000,155.470312,1765.491762,0.031719,28914,1761979677
303,71,-250.000000,-250.000000,155.693201,1797.652899,0.039496,28985,1761979678
304,61,-250.000000,-250.000000,156.539227,1725.492278,0.035352,29046,1761979678
305,56,-250.000000,-250.000000,152.625583,1693.287752,0.033072,29102,1761979678
306,56,-250.000000,-250.000000,154.076805,1671.893856,0.033495,29158,1761979678
307,57,-250.000000,-250.000000,154.519755,1682.586341,0.033876,29215,1761979678
308,99,-250.000000,-250.000000,155.855152,1807.952628,0.054758,29314,1761979678
309,60,-250.000000,-250.000000,156.085896,1641.745484,0.036546,29374,1761979678
310,64,-250.000000,-250.000000,156.086864,1836.799956,0.034843,29438,1761979678
311,58,-250.000000,-250.000000,157.048708,1747.865240,0.033183,29496,1761979678
312,64,-250.000000,-250.000000,156.529527,1755.926161,0.036448,29560,1761979678
313,72,-250.000000,-250.000000,155.612306,1800.688625,0.039985,29632,1761979678
314,89,-250.000000,-250.000000,154.727006,1838.374911,0.048412,29721,1761979678
315,52,-250.000000,-250.000000,155.490395,1748.439243,0.029741,29773,1761979678
316,80,-250.000000,-250.000000,155.201291,1842.951409,0.043409,29853,1761979678
317,101,-250.000000,-250.000000,159.126943,1750.160934,0.057709,29954,1761979678
318,57,-250.000000,-250.000000,158.647040,1726.038567,0.033024,30011,1761979678
319,48,-250.000000,-250.000000,158.504722,1748.400698,0.027454,30059,1761979678
320,55,-250.000000,-250.000000,158.189019,1673.364767,0.032868,30114,1761979678
321,94,-250.000000,-250.000000,157.961100,1874.255203,0.050153,30208,1761979678
322,66,-250.000000,-250.000000,151.194493,1794.098809,0.036787,30274,1761979678
323,74,-250.000000,-250.000000,152.056283,1828.875706,0.040462,30348,1761979678
